POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
3014,Drammen,Meglerhuset,8,11
3034,Drammen,Meglerhuset,8,11
3036,Drammen,Meglerhuset,8,11
3620,Drammen,Meglerhuset,8,11
3350,Drammen,Meglerhuset,8,11
3617,Drammen,Meglerhuset,8,11
3611,Drammen,Meglerhuset,8,11
3614,Drammen,Meglerhuset,8,11
3616,Drammen,Meglerhuset,8,11
3612,Drammen,Meglerhuset,8,11
3046,Drammen,Meglerhuset,8,11
3047,Drammen,Meglerhuset,8,11
3370,Drammen,Meglerhuset,8,11
3330,Drammen,Meglerhuset,8,11
3355,Drammen,Meglerhuset,8,11
3613,Drammen,Meglerhuset,8,11
3004,Drammen,Meglerhuset,8,11
3619,Drammen,Meglerhuset,8,11
3608,Drammen,Meglerhuset,8,11
3050,Drammen,Meglerhuset,8,11
3041,Drammen,Meglerhuset,8,11
3070,Drammen,Meglerhuset,8,11
3080,Drammen,Meglerhuset,8,11
3083,Drammen,Meglerhuset,8,11
3084,Drammen,Meglerhuset,8,11
3086,Drammen,Meglerhuset,8,11
3085,Drammen,Meglerhuset,8,11
3405,Drammen,Meglerhuset,8,11
3408,Drammen,Meglerhuset,8,11
3409,Drammen,Meglerhuset,8,11
3406,Drammen,Meglerhuset,8,11
3425,Drammen,Meglerhuset,8,11
3021,Drammen,Meglerhuset,8,11
3426,Drammen,Meglerhuset,8,11
3404,Drammen,Meglerhuset,8,11
3402,Drammen,Meglerhuset,8,11
3413,Drammen,Meglerhuset,8,11
3403,Drammen,Meglerhuset,8,11
3414,Drammen,Meglerhuset,8,11
3420,Drammen,Meglerhuset,8,11
3360,Drammen,Meglerhuset,8,11
3320,Drammen,Meglerhuset,8,11
3018,Drammen,Meglerhuset,8,11
3060,Drammen,Meglerhuset,8,11
3089,Drammen,Meglerhuset,8,11
3076,Drammen,Meglerhuset,8,11
3077,Drammen,Meglerhuset,8,11
3011,Drammen,Meglerhuset,8,11
3300,Drammen,Meglerhuset,8,11
3302,Drammen,Meglerhuset,8,11
3303,Drammen,Meglerhuset,8,11
